Date,Total CPI,Food and non-alcoholic beverages,"Alcoholic beverages, tobacco and narcotics",Clothing and footwear,"Housing, water, electricity, and fuel",Household goods and services,Health,Transportation,Communication,Recreation and culture,Education,Restaurants and hotels,Miscellaneous goods and services,All items (non-food non-energy),Energy,Services,Services less housing,Housing excluding imputed rentals for housing,Actual rentals for housing,Water supply and misc. services relating to dwelling,"Electricity, gas and other fuels",Maintenance and repair of the dwelling
2006-04-01,80.01398539,70.03101,62.54705,73.84012,77.7034,78.7597,88.11591,87.83193,110.0517,95.54409,79.66407,78.9877,74.01588000000001,81.39984,86.2892,81.94999,83.14711,77.84754000000001,79.2955,72.89868,78.27702,73.47626
2006-05-01,80.17000328,69.40176,62.483959999999996,74.86092,77.77982,78.99677,88.11591,88.589,110.0517,95.34997,79.73891,79.06551,75.28981999999999,81.64105,86.93822,82.03038000000001,83.2283,77.84754000000001,79.37474,72.75795,78.35045,73.62
2006-06-01,80.01398539,68.77251,62.483959999999996,74.93226999999999,77.85625,79.47303000000001,88.20313,88.67402,109.8279,94.09221,79.81477,79.22111,74.51105,81.55959,87.01913,82.11076,83.30842,77.92453,79.37474,72.68881,78.35045,74.56371
2006-07-01,80.32707534,69.19275999999999,62.483959999999996,74.86092,78.38812,79.39365,88.28828,89.34608,109.8279,94.18927,79.81477,79.45339,75.00623,81.7204,88.7226,82.34978000000001,83.63211,77.92453,79.45501999999999,72.47771,80.421,74.56371
2006-08-01,80.79723736,71.84834000000001,62.483959999999996,74.93226999999999,78.61533,80.02975,88.37550999999999,89.59911,109.3842,93.80204,79.81477,79.45339,75.35961,81.7204,88.9662,82.43016999999999,83.63211,78.15659000000001,79.53323,73.31841999999999,80.64214,74.63558
2006-09-01,81.03231837,72.54802,62.61015,74.93226999999999,79.30212,80.18636,88.46275,89.17806999999999,109.3842,93.60792,79.81477,79.53231,75.28981999999999,81.8812,89.53343000000001,82.67025,83.87462,78.23357,79.61247,73.17891999999999,83.15498000000001,74.70863
2006-10-01,80.64016529,71.00896,62.61015,75.44215,79.22466999999999,80.10698000000001,88.46275,87.66490999999999,109.1623,93.31875,79.81477,79.61010999999999,75.14803,81.8812,87.50635,82.67025,83.95473,78.31165,79.8502,72.89868,82.6384,74.78049
2006-11-01,80.2490664,69.12234000000001,62.61015,76.02546,78.69279,80.34512,88.37550999999999,87.15986,108.829,93.22169,79.89064,79.6879,75.5014,82.04095,85.31567,82.67025,83.87462,78.46670999999999,80.00869,72.89868,80.199,74.78049
2006-12-01,80.48414741,70.17071999999999,62.61015,76.02546,78.8446,80.42557,88.5479,87.24387,108.829,93.41581,79.89064,79.9202,75.64431,82.12135,85.15385,82.82888,83.95473,78.69876,80.16718,73.31841999999999,80.12472,74.85354
2007-01-01,80.64016529,70.52055,62.54705,76.02546,78.92104,80.742,89.50118,87.32788000000001,108.0511,93.41581,80.26895,80.0758,75.64431,82.36044,84.66664,82.98965,84.11605,79.08588,80.32566,75.14182,79.31187,74.92541
2007-02-01,81.18939043,72.12776,62.54705,76.0989,79.14928,80.82138,89.67461,87.32788000000001,107.4959,94.09221,81.10041,80.1536,76.49175,82.76034,84.58573,83.30905,84.52093,79.31793,80.48415,76.05289,79.23843000000001,74.99845
2007-03-01,81.66060662,71.4985,62.61015,76.0989,79.07285,81.05951,89.67461,88.33698000000001,107.3855,93.60792,84.35037,80.5426,77.69479,83.40038,85.47926,84.1097,85.48987,79.39493,80.56235,75.98253000000001,78.64587,75.0715
2007-04-01,81.97369658,71.7075,62.61015,76.0989,79.14928,81.21826999999999,89.84698,90.60821999999999,107.3855,93.22169,84.50108,80.62040999999999,77.83659,83.56013,87.10004,84.34978000000001,85.7313,79.39493,80.72188,75.56155,78.94215,75.0715
2007-05-01,82.0527597,71.21909000000001,62.67325,76.68012,79.52934,81.13781999999999,89.84698,91.36629,107.2741,92.7374,84.57694000000001,80.6971,77.83659,83.63946999999999,88.5599,84.50842,85.89262,79.54999000000001,80.80112,75.63316,80.27328,75.14336999999999
2007-06-01,82.0527597,70.79996,62.86048,76.68012,79.60576,81.21826999999999,89.84698,91.70232,107.1636,92.54326999999999,84.57694000000001,80.77601,77.90749,83.63946999999999,88.9662,84.5888,85.97273,79.473,80.87933000000001,75.49242,80.34756,75.14336999999999
2007-07-01,82.36690383,71.7075,62.92358,76.97178000000001,79.90939,81.21826999999999,89.84698,92.12337,107.3855,92.83445999999999,84.65179,80.85381,77.97839,83.80028,89.69524,84.7485,86.21524000000001,79.54999000000001,80.95961,75.49242,81.38242,75.14336999999999
2007-08-01,82.44491277,71.84834000000001,62.985640000000004,76.97178000000001,80.06326999999999,81.93266,89.7608,91.95435,107.3855,92.54326999999999,84.65179,80.93160999999999,78.40266,83.87961999999999,89.53343000000001,84.82781999999999,86.21524000000001,79.78204000000001,81.1181,76.12326,81.45499000000001,75.21642
2007-09-01,82.91612896,73.94509000000001,62.985640000000004,76.97178000000001,80.74696,82.32955,89.84698,92.03836,107.3855,92.35016,84.65179,80.85381,78.75604,83.87961999999999,90.74969,84.98859,86.37655,79.93602,81.1963,76.33313000000001,83.59897,75.28828
2007-10-01,83.07214685,74.0848,62.985640000000004,77.19105,80.82236,82.32955,89.84698,92.37539,107.3855,92.2531,84.72765,81.00829,79.11053000000001,84.04042,91.47873,85.0679,86.45774,79.93602,81.27658000000001,75.91339,83.89439,75.28828
2007-11-01,83.07214685,72.12776,62.985640000000004,77.55614,81.50915,82.40678,89.93421,93.80553,107.3855,92.2531,84.72765,81.00829,79.74639,84.11871,94.31844,85.14829,86.61798,80.09109000000001,81.51326999999999,75.91339,85.9641,75.28828
2007-12-01,83.38629098,72.47646,62.985640000000004,77.77226999999999,81.81278,82.2491,90.02041,94.98366,107.3855,92.44722,84.80351999999999,81.16501,79.9602,84.27846,95.85921,85.30799,86.69917,80.32314000000001,81.6728,76.33313000000001,86.62923,75.28828
2008-01-01,83.77738988,72.68659,62.985640000000004,77.77226999999999,81.58454,82.40678,90.79924,96.24579,106.0524,93.02858,85.25667,81.7863,81.80020999999999,84.67941,96.18283000000001,85.62846,87.02287,80.55519,81.83025,77.73555,84.7081,75.28828
2008-02-01,84.09258818,73.31698,62.985640000000004,77.70093,81.9646,82.32955,91.14503,96.16176999999999,106.0524,93.41581,85.48427,82.17531,82.57675,84.9989,96.02102,85.94787,87.34549,81.17545,81.98978000000001,80.25891999999999,84.56039,75.36133000000001
2008-03-01,84.87689433,73.17613,62.985640000000004,77.77226999999999,82.26926,82.64492,91.23227,96.75084,106.0524,93.60792,88.88494,83.2634,84.27718,85.95844,97.07545999999999,87.06684,88.63598,81.32943,82.14721999999999,80.11819,85.22551999999999,75.50624
2008-04-01,85.34811052,74.29493000000001,62.985640000000004,77.84676,82.95501999999999,82.64492,91.23227,97.84395,105.9409,93.41581,89.11151,83.65241,84.62946,86.11819,99.26525,87.30693000000001,88.96074,81.56149,82.38495,79.76758000000001,87.29436,78.04519
2008-05-01,86.05229938,74.57321,62.985640000000004,78.64619,83.56229,84.5489,91.49186999999999,101.0413,105.8305,93.51086,89.18738,84.19700999999999,84.77235999999999,86.43768,103.8058,87.54701,89.12099,81.71655,82.54343,79.62808000000001,89.14291999999999,78.55298
2008-06-01,86.60152451,74.4335,62.985640000000004,78.71964,84.17161999999999,85.42099,91.49186999999999,104.6596,105.8305,93.41581,89.18738,84.81831,85.05373,86.59743,108.8353,87.70779,89.36349,81.79354000000001,82.7822,79.27747,91.13834,79.13264000000001
2008-07-01,87.22981277,75.83171999999999,62.985640000000004,78.86546,84.4009,86.37352,91.57806,105.9208,105.8305,94.28634,89.18738,85.20730999999999,86.0452,86.99837,110.1333,88.02611999999999,89.68611,81.9486,82.93965,79.06636999999999,91.58233,79.71347
2008-08-01,87.07274071,77.15951,63.362159999999996,78.9389,84.4009,86.37352,91.6653,102.8925,105.8305,94.77063000000001,89.18738,85.5952,84.77235999999999,86.99837,105.9146,88.18581,89.92860999999999,82.18066,83.09814,79.34661,90.91634,80.14822
